"","IDEOLOGIA","GOSTA_BOLSONARO","GOSTA_PT","GOSTA_LULA","INTERV_MIL_CRIME","INTERV_MIL_CORRUPCAO","INTERV_MIL_INST_POL","cluster","membership_cluster1","membership_cluster2","membership_cluster3"
"1",0,1,9,8,2,2,2,2,0.0096485042041423,0.970067274480514,0.0202842213153439
"2",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"3",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"4",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"5",0,0,5,10,1,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"6",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"7",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"8",0,0,0,0,1,1,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"9",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"10",0,0,5,5,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"11",8,8,6,2,2,2,2,1,0.908994400780259,0.025452049081644,0.065553550138097
"12",5,0,10,10,1,1,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"13",10,0,10,10,1,1,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"14",10,8,0,0,2,2,2,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"15",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"16",9,10,0,0,1,1,2,1,0.982832016164015,0.00538056526105506,0.01178741857493
"17",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"18",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"19",5,0,4,5,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"20",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"21",10,0,8,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
